# replica x Q2 F2nu FLnu xF3nu F2nub FLnub xF3nub
58 1.000000e-02 4.000000e+00 1.768245e+00 3.724716e-01 -5.189355e-01 1.721401e+00 7.531583e-02 6.098962e-01
58 1.000000e-02 1.000000e+02 2.224659e+00 3.391401e-01 2.830434e-02 2.491479e+00 9.421933e-02 3.441732e-01
59 1.000000e-02 4.000000e+00 1.475351e+00 -6.526589e-03 -2.019945e-01 1.579991e+00 7.679594e-02 6.261008e-01
59 1.000000e-02 1.000000e+02 1.993548e+00 1.433562e-01 -8.747786e-01 2.788256e+00 -2.138099e-02 1.210518e+00
60 1.000000e-02 4.000000e+00 1.564497e+00 1.020570e+00 3.080565e-01 1.377787e+00 1.216593e+00 1.101107e+00
60 1.000000e-02 1.000000e+02 1.831208e+00 -3.015890e-01 3.512893e-01 2.092196e+00 9.570532e-01 1.773367e+00
61 1.000000e-02 4.000000e+00 1.255250e+00 -2.380443e-01 9.387994e-02 1.367631e+00 -1.088108e-01 5.905598e-01
61 1.000000e-02 1.000000e+02 1.166346e+00 -1.454345e+00 1.458948e-01 1.696827e+00 -1.232746e-01 8.707565e-01
62 1.000000e-02 4.000000e+00 7.545881e-01 -3.000101e-01 1.920943e-01 2.480479e+00 7.132663e-01 5.920677e-01
62 1.000000e-02 1.000000e+02 2.050783e+00 8.347821e-02 6.479038e-01 1.816572e+00 -7.798743e-02 3.454008e-01
63 1.000000e-02 4.000000e+00 1.635314e+00 1.897385e+00 7.820332e-02 1.792669e+00 -6.218851e-03 7.034116e-01
63 1.000000e-02 1.000000e+02 2.182459e+00 1.552867e+00 -2.065192e-02 2.575614e+00 5.113864e-01 5.682741e-01
64 1.000000e-02 4.000000e+00 1.612046e+00 1.181671e-01 -3.213304e-01 1.574858e+00 3.237314e-01 1.887200e-01
64 1.000000e-02 1.000000e+02 2.016331e+00 6.262021e-02 -2.442588e-01 1.787416e+00 4.237101e-01 -3.798732e-01
65 1.000000e-02 4.000000e+00 2.005217e+00 1.893578e-01 4.836037e-01 2.089628e+00 1.814098e+00 -1.488562e-01
65 1.000000e-02 1.000000e+02 2.870222e+00 9.890432e-01 4.773224e-01 2.660462e+00 -7.796135e-01 6.960051e-01
66 1.000000e-02 4.000000e+00 1.301253e+00 2.360745e+00 9.458065e-01 1.731891e+00 1.585599e+00 1.397865e-01
66 1.000000e-02 1.000000e+02 2.385577e-01 -3.559628e+00 6.782716e-01 1.696369e+00 -5.010396e+00 -9.672356e-02
67 1.000000e-02 4.000000e+00 1.681531e+00 3.556466e-01 -6.573915e-02 1.722941e+00 3.340522e-01 4.132551e-01
67 1.000000e-02 1.000000e+02 2.563964e+00 1.152383e-01 -3.928531e-01 2.530913e+00 8.927027e-01 3.484471e-01
68 1.000000e-02 4.000000e+00 1.102082e+00 -5.549753e+00 -2.663882e-01 1.943851e+00 1.590252e-01 1.002490e+00
68 1.000000e-02 1.000000e+02 2.857882e+00 -5.597138e+00 4.911569e-01 3.789266e+00 1.583891e+00 6.821269e-01
69 1.000000e-02 4.000000e+00 1.330467e+00 -2.629705e-01 -3.534162e-02 1.280445e+00 -5.757296e-01 7.926849e-01
69 1.000000e-02 1.000000e+02 1.843688e+00 -4.853164e-01 1.855754e-01 1.717252e+00 -5.564145e-01 5.438995e-01
70 1.000000e-02 4.000000e+00 1.356914e+00 3.909491e-01 8.996224e-02 1.615001e+00 -1.223325e-01 3.184563e-01
70 1.000000e-02 1.000000e+02 1.641287e+00 -4.474473e-02 4.904622e-02 2.010004e+00 -2.714521e-01 3.781562e-01
71 1.000000e-02 4.000000e+00 1.519396e+00 7.768440e-01 3.866053e-01 1.548108e+00 5.972486e-01 4.645234e-02
71 1.000000e-02 1.000000e+02 1.679657e+00 4.561700e-01 2.896923e-01 2.104672e+00 5.822109e-01 4.614739e-01
72 1.000000e-02 4.000000e+00 1.673973e+00 4.298762e-01 -6.758106e-02 1.511853e+00 2.478951e-01 3.810548e-01
72 1.000000e-02 1.000000e+02 2.669621e+00 8.779931e-02 5.079979e-01 2.497222e+00 9.046102e-02 3.693516e-01
73 1.000000e-02 4.000000e+00 2.327166e+00 1.471289e+00 4.009800e-01 2.999474e+00 4.501315e+00 5.319538e-01
73 1.000000e-02 1.000000e+02 2.728861e+00 6.186968e-02 6.636024e-03 3.139645e+00 5.935633e-01 1.666400e-01
74 1.000000e-02 4.000000e+00 1.504288e+00 1.239944e-01 -1.631427e-02 1.557368e+00 1.755226e-02 3.879987e-01
74 1.000000e-02 1.000000e+02 1.927538e+00 -1.262347e-01 1.918570e-01 2.098790e+00 -1.018374e-01 2.883092e-01
75 1.000000e-02 4.000000e+00 2.058194e+00 2.039973e+00 -8.472633e-02 1.740481e+00 5.046456e-01 1.325565e+00
75 1.000000e-02 1.000000e+02 2.067381e+00 -1.497774e-01 4.243400e-01 1.343257e+00 -2.614045e-01 1.369402e-01
0 2.434783e-02 4.000000e+00 1.575212e+00 1.746340e-01 9.416419e-02 1.734329e+00 2.207775e-01 6.798962e-01
0 2.434783e-02 1.000000e+02 1.928326e+00 4.185477e-01 5.250080e-01 2.334536e+00 5.160934e-01 4.030313e-01
1 2.434783e-02 4.000000e+00 1.604852e+00 1.573448e-01 7.964883e-01 1.673180e+00 2.240948e-01 1.562419e-01
1 2.434783e-02 1.000000e+02 1.943222e+00 -4.185944e-01 1.030250e+00 2.020086e+00 -4.273575e-01 7.203579e-02
2 2.434783e-02 4.000000e+00 1.165367e+00 -1.577330e-01 -4.528699e-01 1.515985e+00 -7.815834e-01 1.052937e+00
2 2.434783e-02 1.000000e+02 1.450287e+00 -1.224518e+00 4.667813e-01 2.277356e+00 -7.511709e-01 5.203083e-01
3 2.434783e-02 4.000000e+00 1.138573e+00 1.288943e-01 2.094975e-01 1.600438e+00 1.744223e-01 7.459157e-01
3 2.434783e-02 1.000000e+02 2.876917e+00 8.145194e+00 5.317438e-01 3.019863e+00 8.583570e-01 -2.866390e+00
4 2.434783e-02 4.000000e+00 1.313107e+00 -5.864452e-01 -1.735756e-01 1.839558e+00 -2.000393e-01 7.388611e-01
4 2.434783e-02 1.000000e+02 9.939529e-01 -2.516289e-01 1.310065e-01 2.141106e+00 -6.966164e-01 2.035066e-01
5 2.434783e-02 4.000000e+00 1.363622e+00 2.549618e-03 7.176992e-02 1.395439e+00 2.477989e-01 2.929778e-01
